time,pressure
9.132321180243266667e+00,8.133873646881745663e+04
9.188008814967078663e+00,8.121621919943179819e+04
9.260528016574445687e+00,8.105726552007001010e+04
9.314317000629475984e+00,8.093979987561557209e+04
9.368105984684506282e+00,8.082270284649709356e+04
9.421894968739536580e+00,8.070597382190410281e+04
9.475683952794566878e+00,8.058961217102230876e+04
9.529472936849597176e+00,8.047361724670282274e+04
9.594167209499774529e+00,8.033459014287358150e+04
9.658861482149951883e+00,8.019609147583953745e+04
9.723555754800129236e+00,8.005812015430684551e+04
9.776101930489584646e+00,7.995069642604514956e+04
9.786367824272247162e+00,7.993064802268795029e+04
9.796633718054909679e+00,7.991061178924920387e+04
9.806899611837572195e+00,7.989058771967215580e+04
9.827431399402895451e+00,7.985057605183363194e+04
9.847963186968218707e+00,7.981061297336082498e+04
9.868494974533541964e+00,7.977069843844014395e+04
9.889026762098865220e+00,7.973083240695706627e+04
9.922003885381757371e+00,7.966690301914588781e+04
9.954981008664649522e+00,7.960309853061370086e+04
9.987958131947541673e+00,7.953941883461391262e+04
1.002093525523043382e+01,7.947586384311947040e+04
1.005391237851332598e+01,7.941243348139086447e+04
1.009357267933017610e+01,7.933631323940253060e+04
1.013323298014702623e+01,7.926037305506385746e+04
1.017289328096387635e+01,7.918461281091174169e+04
1.021255358178072647e+01,7.910903236921310599e+04
1.025221388259757660e+01,7.903363156353340310e+04
1.029959490916657749e+01,7.894378759502497269e+04
1.034697593573557839e+01,7.885419933437759755e+04
1.039435696230457928e+01,7.876486634354054695e+04
1.044173798887358018e+01,7.867578816130493942e+04
1.048911901544258107e+01,7.858696432950221060e+04
1.054908380892875108e+01,7.847491405570719508e+04
1.060904860241492109e+01,7.836326970587775577e+04
1.065618651784739868e+01,7.827579138330160640e+04
1.070332443327987626e+01,7.818856322483632539e+04
1.075046234871235384e+01,7.810158497838806943e+04
1.079760026414483143e+01,7.801485639608112979e+04
1.084473817957730901e+01,7.792837722261554154e+04
1.089187609500978660e+01,7.784214718550140969e+04
1.095752393535786418e+01,7.772247121257058461e+04
1.102317177570594176e+01,7.760327698345371755e+04
1.108881961605401933e+01,7.748456353569132625e+04
1.115446745640209691e+01,7.736632987998626777e+04
1.122011529675017449e+01,7.724857505371750449e+04
1.128576313709825207e+01,7.713129816151858540e+04
1.135141097744632965e+01,7.701449838991598517e+04
1.141705881779440723e+01,7.689817499480400875e+04
1.148270665814248481e+01,7.678232726959351567e+04
1.154835449849056239e+01,7.666695450647899997e+04
1.161400233883863997e+01,7.655205596636614064e+04
1.167965017918671755e+01,7.643763086654087238e+04
1.174529801953479513e+01,7.632367838585008576e+04
1.181094585988287271e+01,7.621019768159493105e+04
1.187659370023095029e+01,7.609718791115509521e+04
1.196351425203952168e+01,7.594828129910677671e+04
1.205043480384809307e+01,7.580019701644948509e+04
1.213735535565666446e+01,7.565293335590881179e+04
1.222427590746523585e+01,7.550648868628962373e+04
1.231119645927380724e+01,7.536086138717894210e+04
1.239811701108237862e+01,7.521604979487982928e+04
1.248503756289095001e+01,7.507205219005883555e+04
1.257195811469952140e+01,7.492886682735366048e+04
1.265887866650809279e+01,7.478649198120886285e+04
1.274579921831666418e+01,7.464492597831838066e+04
1.283271977012523557e+01,7.450416720279866422e+04
1.291964032193380696e+01,7.436421407972020097e+04
